id,source_url,status,type,last_seen,createdAt,updatedAt
17,https://georgeconstructions.com/12-best-patio-floors/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:34.925Z,2026-01-13T13:36:06.300Z
18,https://georgeconstructions.com/12-modern-cabinetry-ideas-for-a-modernized-kitchen/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:34.992Z,2026-01-13T13:36:06.356Z
19,https://georgeconstructions.com/top-10-closet-companies/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.065Z,2026-01-13T13:36:06.415Z
20,https://georgeconstructions.com/13-types-of-floor-tiles/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.135Z,2026-01-13T13:36:06.463Z
21,https://georgeconstructions.com/10-types-of-kitchen-cabinet-designs/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.206Z,2026-01-13T13:36:06.513Z
22,https://georgeconstructions.com/transform-your-kitchen-the-ultimate-guide-to-modern-design-kitchen-cabinets/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.270Z,2026-01-13T13:36:06.572Z
23,https://georgeconstructions.com/navy-blue-kitchen-cabinet/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.334Z,2026-01-13T13:36:06.638Z
24,https://georgeconstructions.com/modern-interior-doors-transform-your-homes-look/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.401Z,2026-01-13T13:36:06.702Z
25,https://georgeconstructions.com/10-elegant-and-functional-bathroom-vanities/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.478Z,2026-01-13T13:36:06.758Z
26,https://georgeconstructions.com/top-10-cabinet-maker-company/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.567Z,2026-01-13T13:36:06.814Z
27,https://georgeconstructions.com/smart-toilets-everything-you-need-to-know/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.630Z,2026-01-13T13:36:06.867Z
28,https://georgeconstructions.com/high-end-kitchen-cabinets-luxury-and-function/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.717Z,2026-01-13T13:36:06.927Z
29,https://georgeconstructions.com/which-kitchen-color-sells-houses-best/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.808Z,2026-01-13T13:36:06.988Z
30,https://georgeconstructions.com/popular-kitchen-cabinet-painting-ideas/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.883Z,2026-01-13T13:36:07.044Z
31,https://georgeconstructions.com/choose-the-best-pool-tiles-for-your-project/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:35.967Z,2026-01-13T13:36:07.123Z
32,https://georgeconstructions.com/smart-home-kitchen-cabinet-pantry-ideas/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.045Z,2026-01-13T13:36:07.193Z
33,https://georgeconstructions.com/top-15-bathroom-vanities-manufacturers-2024/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.127Z,2026-01-13T13:36:07.244Z
34,https://georgeconstructions.com/classic-cream-kitchen-cabinets-redefined/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.189Z,2026-01-13T13:36:07.300Z
35,https://georgeconstructions.com/blue-and-white-kitchen-cabinets-classic-design-inspirations/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.261Z,2026-01-13T13:36:07.355Z
36,https://georgeconstructions.com/20-simple-minimalist-kitchen-designs-for-big-results/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.324Z,2026-01-13T13:36:07.419Z
37,https://georgeconstructions.com/top-20-wooden-door-manufacturers-from-china-2025/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.392Z,2026-01-13T13:36:07.478Z
38,https://georgeconstructions.com/revamp-your-kitchen-the-ultimate-guide-to-modern-design-kitchen-cabinets/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.463Z,2026-01-13T13:36:07.528Z
39,https://georgeconstructions.com/which-material-is-best-for-an-accordion-door/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.538Z,2026-01-13T13:36:07.575Z
40,https://georgeconstructions.com/which-screen-door-material-is-best/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.613Z,2026-01-13T13:36:07.634Z
41,https://georgeconstructions.com/how-to-import-china-windows-and-doors/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.702Z,2026-01-13T13:36:07.681Z
42,https://georgeconstructions.com/modern-kitchen-design-ideas/,pending,page,2026-01-13T13:36:06.284Z,2026-01-13T13:18:36.802Z,2026-01-13T13:36:07.734Z
